"certificate_number"@;@"inn"@;@"product_name"@;@"tnved_code"@;@"localization_rate"@;@"enkt_code"@;@"manufacture_power_yearly"@;@"unit_type_name"
"508050096803"@;@"300369838"@;@Корпус ротора@;@"8431430000"@;@64,9@;@"28.92.61.110-00030"@;@1 200@;@штук
"508050096802"@;@"300369838"@;@Корпус КПП@;@"8431430000"@;@67,87@;@"28.15.23.110-00001"@;@1 200@;@штук
"508050096801"@;@"300369838"@;@Шкив тормозной буровой@;@"8431430000"@;@68,14@;@"28.22.19.140-00011"@;@1 200@;@штук
"528050036401"@;@"200599404"@;@Песок строительный@;@"2505900000"@;@100@;@"08.12.11.130-00001"@;@20 000@;@т
"513050076901"@;@"201405873"@;@Мол гўшти@;@"0201209000"@;@100@;@"10.11.11.110-00001"@;@90 000@;@кг
"510050094701"@;@"200610754"@;@Қаттиқ маиший чиқиндиларни йиғиш ва ташиш учун уч ғилдиракли электр юк мотосикли@;@"8704600000"@;@9,77@;@"30.91.12.000-00001"@;@2 000@;@шт.
"539050301705"@;@"307063834"@;@Трансформатор типа  ТМГ@;@"8504210000"@;@31,4@;@"27.11.42.000-00002"@;@360@;@шт
"539050302411"@;@"206985269"@;@Дотал таблетки,покрытые пленочной оболочкой 5мг №10 (Desloratadine)@;@"3004900002"@;@@;@"21.32.20.120-00001"@;@150 000@;@упак
"509050181015"@;@"204025459"@;@Таксимловчи муфта@;@"8536908509"@;@7,01@;@"27.33.13.163-00005"@;@200@;@шт
"539050302406"@;@"206985269"@;@Рецитолин раствор для инфузий 200мл (флаконы) (Comb.drug (Potassium chloride, Calcium chloride, Sodium chloride))@;@"3004900002"@;@@;@"21.32.20.120-00001"@;@200 000@;@фл
"539050302405"@;@"206985269"@;@Орницитол раствор для инфузий 100мл (флаконы ) (Ornidazole)@;@"3004900002"@;@@;@"21.32.20.120-00001"@;@200 000@;@фл
"539050302401"@;@"206985269"@;@Гепамунал  лиофилизированный порошок для приготовления раствора для инъекций №5  (флаконы) в комплекте с растворителем - L-лизин 5мл №5(1х5) (ампулы) (Ademetionine)@;@"3004900002"@;@@;@"21.32.20.120-00001"@;@100 000@;@упак
"509050181014"@;@"204025459"@;@Таксимловчи муфта@;@"8536908509"@;@8,25@;@"27.33.13.163-00005"@;@200@;@шт
"509050181013"@;@"204025459"@;@Кабел учун қути@;@"8536908509"@;@7,82@;@"27.12.40.000-00032"@;@200@;@шт
"509050181012"@;@"204025459"@;@Таксимловчи темирйул кутиси@;@"8536908509"@;@0,59@;@"27.11.62.110-00009"@;@200@;@шт
"509050181011"@;@"204025459"@;@Трансформатор қутиси@;@"8536908509"@;@5,81@;@"27.11.62.110-00008"@;@200@;@шт
"509050181010"@;@"204025459"@;@Кабел учун шкаф@;@"8536908509"@;@7,46@;@"27.12.10.190-00025"@;@200@;@шт
"509050181009"@;@"204025459"@;@Универсал муфта@;@"8536908509"@;@5,72@;@"27.33.13.163-00004"@;@200@;@шт
"539050296401"@;@"309580000"@;@Термоэлектрический преобразователь@;@"9025192000"@;@33@;@"26.51.70.190-00011"@;@2 000@;@шт
"509050181008"@;@"204025459"@;@Универсал муфта@;@"8536908509"@;@7,92@;@"27.33.13.163-00004"@;@200@;@шт
"509050181007"@;@"204025459"@;@Рельсларни туташган жойи улагичи@;@"8536908509"@;@6,6@;@"25.93.11.120-00003"@;@5 000@;@шт
"509050181006"@;@"204025459"@;@Рельсларни туташган жойи улагичи@;@"8536908509"@;@7,63@;@"25.93.11.120-00003"@;@5 000@;@шт
"509050181005"@;@"204025459"@;@Дросселли пулат утказгич@;@"8536908509"@;@8,25@;@"27.90.70.000-00009"@;@200@;@шт
"509050181004"@;@"204025459"@;@Дросселли пулат утказгич@;@"8536908509"@;@8,56@;@"27.90.70.000-00009"@;@200@;@шт
"509050181003"@;@"204025459"@;@Дроссел утказгич@;@"8536908509"@;@8,39@;@"27.90.70.000-00009"@;@200@;@шт
"539050301707"@;@"307063834"@;@Трансформатор типа  ТМГ@;@"8504210000"@;@31,6@;@"27.11.42.000-00002"@;@360@;@шт
"509050181002"@;@"204025459"@;@Курсаткичли улагич@;@"8536908509"@;@9,14@;@"27.33.13.120-00030"@;@200@;@шт
"509050181001"@;@"204025459"@;@Электр тортувчи утказгич@;@"8536908509"@;@9,13@;@"27.90.70.000-00019"@;@200@;@шт
"532050040201"@;@"305677729"@;@Смесь природная песчано-гравийная для строительных работ@;@"2517101000"@;@100@;@"08.12.12.160-00004"@;@120 000@;@куб. метр
"539050296405"@;@"309580000"@;@Термопреобразователь сопротивления@;@"9025192000"@;@35@;@"26.51.51.110-00012"@;@1 500@;@шт
"539050296404"@;@"309580000"@;@Термоэлектрический преобразователь@;@"9025192000"@;@34@;@"26.51.70.190-00011"@;@2 000@;@шт
"539050296403"@;@"309580000"@;@Термопреобразователь сопротивления@;@"9025192000"@;@32@;@"26.60.11.130-00001"@;@1 500@;@шт
"539050296402"@;@"309580000"@;@Термопреобразователь сопротивления@;@"9025192000"@;@31@;@"26.51.51.110-00012"@;@1 500@;@шт
"503050090979"@;@"308648745"@;@Подшипник 8156Л@;@"8482109008"@;@40@;@"28.15.10.122-00001"@;@10 000@;@шт
"509050193901"@;@"309505828"@;@Интерактив панель 65 дюйм@;@"8471410000"@;@36,35@;@"26.20.13.000-00001"@;@5 000@;@шт
"539050302310"@;@"206985269"@;@Рамзол порошок лиофилизированный для приготовления раствора для инъекций 20гмг  (флаконы) (Rabeprazole sodium)@;@"3004900002"@;@@;@"21.32.20.120-00001"@;@100 000@;@упак
"539050302309"@;@"206985269"@;@Цитокалид раствор для инъекций 1000мг/4мл 4мл №5 (1х5) (ампулы) (Citicoline)@;@"3004900002"@;@@;@"21.32.20.120-00001"@;@150 000@;@упак
"539050301706"@;@"307063834"@;@Трансформатор типа ТМГ@;@"8504210000"@;@31,5@;@"27.11.42.000-00002"@;@360@;@шт
"539050302305"@;@"206985269"@;@Цитрон хот порошок для приготовления раствора для приёма внутрь 21,1г  №10 (пакетики) (Comb.drug (Paracetamol,pheniramine,phenylephrine,ascorbic acid))@;@"3004900002"@;@@;@"21.32.20.120-00001"@;@100 000@;@упак
"539050302304"@;@"206985269"@;@Пентофирал раствор для инъекций 100мг/5мл 5мл №5 (1х5) (ампулы) (Pentoxifylline)@;@"3004900002"@;@@;@"21.32.20.120-00001"@;@150 000@;@упак
"539050302303"@;@"206985269"@;@Гепатрим гранулы для приготовления раствора  для приема внутрь 5,0г №10 (пакетики) (Ornithine)@;@"3004900002"@;@@;@"21.32.20.120-00001"@;@150 000@;@упак
"539050302301"@;@"206985269"@;@Зитил раствор для инфузий 6% 200мл (флаконы) (Hydroxyethylstarch)@;@"3004900002"@;@@;@"21.32.20.120-00001"@;@200 000@;@фл
"503050044510"@;@"306178454"@;@Болт 12*60@;@"7318159008"@;@6@;@"25.94.11.110-00001"@;@17 160@;@кг
"510050096401"@;@"303160314"@;@Шестерна вал учун (Шестерня)@;@"8483908909"@;@53@;@"28.15.22.000-00006"@;@900@;@шт
"529050068301"@;@"200941518"@;@Аммиак водный технический@;@"2814200000"@;@100@;@"20.59.52.194-00336"@;@72 000@;@т
"529050068201"@;@"200941518"@;@Серная кислота техническая@;@"2807000001"@;@96@;@"20.13.24.122-00002"@;@205 000@;@т
"529050068101"@;@"200941518"@;@Раствор аммиачной селитры@;@"3102301000"@;@100@;@"20.15.33.000-00001"@;@450 000@;@т
"539050301708"@;@"307063834"@;@Трансформатор типа ТМГ@;@"8504210000"@;@31,7@;@"27.11.42.000-00002"@;@360@;@шт
"539050301704"@;@"307063834"@;@Трансформатор типа  ТМГ@;@"8504210000"@;@31,3@;@"27.11.42.000-00002"@;@360@;@шт
"539050301703"@;@"307063834"@;@Трансформатор типа  ТМГ@;@"8504210000"@;@31,2@;@"27.11.42.000-00002"@;@360@;@шт
"539050301702"@;@"307063834"@;@Трансформатор типа ТМГ@;@"8504210000"@;@31,1@;@"27.11.42.000-00002"@;@360@;@шт
"539050301701"@;@"307063834"@;@Трансформатор типа  ТМГ@;@"8504210000"@;@31@;@"27.11.42.000-00002"@;@360@;@шт
"539050301605"@;@"307063834"@;@Трансформатор типа  ТМГ@;@"8504210000"@;@31,4@;@"27.11.42.000-00002"@;@360@;@шт
"510050094603"@;@"205241958"@;@Суриладиган каравот (Кровать раздвижная)@;@"9403500000"@;@74,7@;@"31.09.11.110-00001"@;@500@;@шт
"539050301604"@;@"307063834"@;@Трансформатор типа ТМГ@;@"8504210000"@;@31,3@;@"27.11.42.000-00002"@;@360@;@шт
"539050303301"@;@"306165146"@;@Блок зашиты и управления@;@"8537109100"@;@33,05@;@"27.12.31.000-00008"@;@1 200@;@шт
"539050301603"@;@"307063834"@;@Трансформатор типа ТМГ@;@"8504210000"@;@31,2@;@"27.11.42.000-00002"@;@360@;@шт
"510050094602"@;@"205241958"@;@Икки кишилик каравот (Кровать двухместная)@;@"9403500000"@;@71,8@;@"31.09.12.121-00001"@;@500@;@шт
"507050042401"@;@"201650389"@;@Чойшаблар туплами, 100% пахтадан (чойшаб 220х150см, ёстик жилди 65х65см, курпа жилди 215х150см)@;@"6302310009"@;@86,45@;@"13.92.12.194-00001"@;@26 400@;@комплект
"539050301602"@;@"307063834"@;@Трансформатор типа  ТМГ@;@"8504210000"@;@31,1@;@"27.11.42.000-00002"@;@360@;@шт
"510050094601"@;@"205241958"@;@Бир кишилик каравот(кровать односпальная)@;@"9403500000"@;@71,2@;@"31.09.12.121-00001"@;@500@;@шт
"539050301601"@;@"307063834"@;@Трансформатор типа ТМГ@;@"8504210000"@;@31@;@"27.11.42.000-00002"@;@360@;@шт
"510050092202"@;@"302365454"@;@Кубок (мукофот маҳсулоти)@;@"8306290009"@;@81,06@;@"25.99.24.110-00001"@;@12 600@;@штук
"511050053301"@;@"301324703"@;@Бўр билан ёзиладиган доска@;@"9610000000"@;@25@;@"32.99.53.130-00052"@;@4 056@;@шт
"510050092201"@;@"302365454"@;@Медаль (мукофот маҳсулоти)@;@"8306290009"@;@76,67@;@"32.13.10.120-00003"@;@32 400@;@штук
"539050299701"@;@"204447012"@;@Картонная каробка@;@"4819100000"@;@37@;@"17.21.14.120-00003"@;@10 000@;@шт
"510050092401"@;@"204864404"@;@Пиёдалар кичик сапёр белкураги (лопата)@;@"8201100000"@;@61,8@;@"25.99.29.120-00001"@;@6 600@;@шт
"509050193902"@;@"309505828"@;@Интерактив доска@;@"8471410000"@;@36,35@;@"26.20.16.160-00001"@;@5 000@;@шт
"514050080204"@;@"308271149"@;@Кўрпа жилди@;@"6302210000"@;@30,25@;@"13.92.12.000-00001"@;@5 000@;@шт
"539050296501"@;@"301975029"@;@НАПИТОК БЕЗАЛКОГОЛЬНЫЙ ГАЗИРОВАННЫЙ@;@"2202100001"@;@34,93@;@"11.07.19.190-00001"@;@118 320 000@;@бут
"539050296502"@;@"301975029"@;@НАПИТОК БЕЗАЛКОГОЛЬНЫЙ ГАЗИРОВАННЫЙ@;@"2202100001"@;@33,28@;@"11.07.19.190-00001"@;@201 960 000@;@бут
"539050296503"@;@"301975029"@;@НАПИТОК БЕЗАЛКОГОЛЬНЫЙ ГАЗИРОВАННЫЙ@;@"2202100001"@;@29,8@;@"11.07.19.190-00001"@;@173 108 535@;@бут
"539050296504"@;@"301975029"@;@НАПИТОК БЕЗАЛКОГОЛЬНЫЙ ГАЗИРОВАННЫЙ@;@"2202100001"@;@37,91@;@"11.07.19.190-00001"@;@226 220 000@;@бут
"539050296505"@;@"301975029"@;@НАПИТОК БЕЗАЛКОГОЛЬНЫЙ ГАЗИРОВАННЫЙ@;@"2202100001"@;@43,22@;@"11.07.19.190-00001"@;@532 440 000@;@бут
"539050296506"@;@"301975029"@;@НАПИТОК БЕЗАЛКОГОЛЬНЫЙ ГАЗИРОВАННЫЙ@;@"2202100001"@;@48,82@;@"11.07.19.190-00001"@;@1 165 153 846@;@бут
"503050091505"@;@"312534436"@;@Шкаф для журналов@;@"9403309100"@;@20@;@"31.01.12.139-00001"@;@5 000@;@шт
"539050296507"@;@"301975029"@;@НАПИТОК БЕЗАЛКОГОЛЬНЫЙ ГАЗИРОВАННЫЙ@;@"2202100001"@;@57,44@;@"11.07.19.190-00001"@;@101 204 900@;@шт.
"539050296508"@;@"301975029"@;@НАПИТОК БЕЗАЛКОГОЛЬНЫЙ ГАЗИРОВАННЫЙ@;@"2202100001"@;@40,11@;@"11.07.19.190-00001"@;@64 260 000@;@бут
"539050296509"@;@"301975029"@;@НАПИТОК БЕЗАЛКОГОЛЬНЫЙ ГАЗИРОВАННЫЙ@;@"2202100001"@;@51,73@;@"11.07.19.190-00001"@;@192 780 000@;@бут
"507050042002"@;@"303883220"@;@Затвор@;@"7308909801"@;@91,5@;@"28.14.13.132-00003"@;@4@;@шт
"507050042001"@;@"303883220"@;@Затвор@;@"7308909801"@;@92,5@;@"28.14.13.132-00003"@;@4@;@шт
"510050090401"@;@"303160314"@;@Шкив насос учун@;@"8483508009"@;@23@;@"29.32.30.172-00005"@;@900@;@шт
"503050093601"@;@"312534436"@;@Стол раскройный@;@"9403609000"@;@22@;@"31.09.10.000-00014"@;@5 000@;@шт
"503050091506"@;@"312534436"@;@Шкаф медицинский@;@"9403309100"@;@22@;@"32.50.30.110-00010"@;@5 000@;@шт
"503050090978"@;@"308648745"@;@Подшипник 8226Л@;@"8482109008"@;@40@;@"28.15.10.122-00001"@;@10 000@;@шт
"503050091504"@;@"312534436"@;@Шкаф для книг@;@"9403309100"@;@21@;@"31.01.12.139-00003"@;@5 000@;@шт
"503050091503"@;@"312534436"@;@Шкаф для документов@;@"9403309100"@;@21@;@"31.01.12.139-00001"@;@5 000@;@шт
"503050091502"@;@"312534436"@;@Шкаф для игрушек@;@"9403309100"@;@23@;@"31.09.13.149-00003"@;@5 000@;@шт
"503050091501"@;@"312534436"@;@Шкаф офисный@;@"9403309100"@;@22@;@"31.01.12.130-00001"@;@5 000@;@шт
"539050303001"@;@"306165146"@;@Аппаратурно-программный комплекс@;@"9015801100"@;@31,44@;@"26.51.12.120-00004"@;@24@;@шт
"503050092701"@;@"312534436"@;@Кровать деревянная для взрослых@;@"9403500000"@;@20@;@"31.09.12.121-00001"@;@5 000@;@шт
"539050298401"@;@"306181887"@;@МОНТЕРСКИЙ ПОЯС ДВУХФАЛЬНЫЙ@;@"6307200000"@;@10@;@"32.99.11.150-00002"@;@1 000@;@шт
"510050093501"@;@"303160314"@;@Вал - тишли ғилдирак@;@"8483109509"@;@30@;@"28.15.22.000-00007"@;@900@;@шт
"504050122302"@;@"206267149"@;@Кийимлар учун матодан ишланган шкаф (Шкаф для одежды тканевый)@;@"9403109300"@;@24,1@;@"31.09.10.000-00033"@;@1 000@;@шт
"504050122301"@;@"206267149"@;@Металл хўжалик жавони (Шкаф хозяйственный металлический)@;@"9403109300"@;@22,7@;@"31.01.11.129-00001"@;@2 000@;@шт
"514050080203"@;@"308271149"@;@Юмшоқ чойшаб буюмлари (чойшаб, курпа-тушак жилди, ёстик жилд)@;@"6302210000"@;@30,25@;@"13.92.24.119-00001"@;@5 000@;@компл
"504050122202"@;@"206267149"@;@Ёғоч материаллардан ишланган хўжалик жавони (Шкаф хозяйственный из древесных материалов)@;@"9403309100"@;@27,8@;@"31.09.13.190-00007"@;@2 000@;@шт
"504050122201"@;@"206267149"@;@Стенд жавони (Шкаф стендовый)@;@"9403309100"@;@19,4@;@"31.09.13.190-00009"@;@1 000@;@шт
"532050040001"@;@"203259033"@;@Муфта@;@"8483908909"@;@28@;@"28.15.39.120-00010"@;@385@;@шт
"539050300103"@;@"300063855"@;@Крышка напорная насоса@;@"8413910008"@;@90,75@;@"28.13.31.111-00003"@;@48@;@штук
"539050300102"@;@"300063855"@;@Рабочее колесо насоса@;@"8413910008"@;@90,18@;@"28.13.31.110-00004"@;@48@;@штук
"539050300101"@;@"300063855"@;@Корпус насоса@;@"8413910008"@;@83,97@;@"28.13.32.110-00008"@;@48@;@штук
"508050099601"@;@"201295387"@;@Пленальный стол медицинский@;@"9402900000"@;@37,71@;@"21.31.17.190-00001"@;@300@;@шт.
"511050052002"@;@"303804199"@;@Фойе учун кресло@;@"9401710009"@;@21@;@"31.01.11.150-00016"@;@3 000@;@шт
"532050039912"@;@"300921239"@;@Антибактериальное жидкое мыло@;@"3401209000"@;@15@;@"20.41.31.140-00001"@;@150 000@;@шт
"532050039911"@;@"300921239"@;@Антибактериальное жидкое мыло@;@"3401209000"@;@15@;@"20.41.31.140-00001"@;@150 000@;@шт
"532050039910"@;@"300921239"@;@Антибактериальное жидкое мыло@;@"3401209000"@;@15@;@"20.41.31.140-00001"@;@150 000@;@шт
"532050039909"@;@"300921239"@;@Антибактериальное жидкое мыло@;@"3401209000"@;@15@;@"20.41.31.140-00001"@;@150 000@;@шт
"532050039908"@;@"300921239"@;@Антибактериальное жидкое мыло@;@"3401209000"@;@14@;@"20.41.31.140-00001"@;@200 000@;@шт
"532050039907"@;@"300921239"@;@Антибактериальное жидкое мыло@;@"3401209000"@;@14@;@"20.41.31.140-00001"@;@200 000@;@шт
"532050039906"@;@"300921239"@;@Антибактериальное жидкое мыло@;@"3401209000"@;@14@;@"20.41.31.140-00001"@;@200 000@;@шт
"532050039905"@;@"300921239"@;@Антибактериальное жидкое мыло@;@"3401209000"@;@14@;@"20.41.31.140-00001"@;@200 000@;@шт
"514050080202"@;@"308271149"@;@Чойшаблар тўплами@;@"6302210000"@;@30,25@;@"13.92.12.194-00001"@;@5 000@;@компл
"532050039904"@;@"300921239"@;@Антибактериальное жидкое мыло@;@"3401209000"@;@16@;@"20.41.31.140-00001"@;@250 000@;@шт
"532050039903"@;@"300921239"@;@Антибактериальное жидкое мыло@;@"3401209000"@;@16@;@"20.41.31.140-00001"@;@250 000@;@шт
"532050039902"@;@"300921239"@;@Антибактериальное жидкое мыло@;@"3401209000"@;@16@;@"20.41.31.140-00001"@;@250 000@;@шт
"511050052001"@;@"303804199"@;@Банкетка@;@"9401710009"@;@23@;@"31.01.11.150-00005"@;@3 000@;@шт
"505050050701"@;@"307057209"@;@Легковой автомобиль@;@"8703241097"@;@12@;@"29.10.20.000-00001"@;@284@;@шт
"532050036801"@;@"203259033"@;@Шестярня коронная@;@"8483908909"@;@51,4@;@"28.15.39.120-00010"@;@1 000@;@шт
"539050296901"@;@"305843822"@;@Кран-манипулятор грузоподъёмность 5 тн. на шасси@;@"8704229209"@;@78,16@;@"29.10.59.310-00001"@;@100@;@шт
"510050090103"@;@"303160314"@;@Насос учун Шток@;@"8413910008"@;@37@;@"28.13.31.120-00002"@;@900@;@штук
"510050090102"@;@"303160314"@;@Насос учун Шток@;@"8413910008"@;@47@;@"28.13.31.120-00002"@;@900@;@шт
"510050090101"@;@"303160314"@;@Насос учун Шток@;@"8413910008"@;@51@;@"28.13.31.120-00002"@;@900@;@шт
"510050093204"@;@"204864404"@;@Лабаратория столи@;@"9403609000"@;@40@;@"31.09.10.000-00018"@;@1 320@;@шт
"514050080201"@;@"308271149"@;@Тиббий кўрпа-тўшак учун чойшаб@;@"6302210000"@;@30,25@;@"13.92.12.194-00002"@;@5 000@;@компл
"532050039901"@;@"300921239"@;@Антибактериальное жидкое мыло@;@"3401209000"@;@16@;@"20.41.31.130-00001"@;@250 000@;@шт
"503050092301"@;@"312534436"@;@Ёгоч каркасли стул@;@"9401610000"@;@20@;@"31.01.12.160-00001"@;@5 000@;@шт
"539050303201"@;@"300635625"@;@Ёғочдан ясалган ишхона тумбаси@;@"9403301900"@;@30@;@"31.01.12.150-00001"@;@500@;@шт
"508050099501"@;@"201295387"@;@Журнал столи@;@"9403301900"@;@40,17@;@"31.09.12.132-00001"@;@300@;@шт.
"508050099801"@;@"305949167"@;@Стеллаж металлический@;@"9403208009"@;@40,83@;@"31.09.11.120-00002"@;@1 560@;@шт
"508050099401"@;@"201295387"@;@Ёзув столи@;@"9403301100"@;@37,19@;@"31.01.10.000-00001"@;@300@;@шт.
"539050304701"@;@"308532029"@;@Клей эпоксидный@;@"3506910009"@;@98@;@"20.52.10.190-00001"@;@3 500@;@т
"510050093203"@;@"204864404"@;@Ёзув столи@;@"9403609000"@;@31,2@;@"31.01.10.000-00001"@;@1 056@;@шт
"539050301303"@;@"301200880"@;@Краны Козловые@;@"8426190000"@;@31,2@;@"28.22.14.121-00001"@;@48@;@шт
"539050301302"@;@"301200880"@;@Краны Козловые@;@"8426190000"@;@31,1@;@"28.22.14.121-00001"@;@48@;@шт
"531050013501"@;@"311781305"@;@Основание грибка верхней части керноприемника@;@"8431430000"@;@33@;@"25.73.60.120-00004"@;@120@;@шт
"539050301301"@;@"301200880"@;@Краны Козловые@;@"8426190000"@;@31@;@"28.22.14.121-00001"@;@48@;@шт
"510050093202"@;@"204864404"@;@Офис столи@;@"9403609000"@;@32,2@;@"31.01.12.110-00002"@;@1 848@;@шт
"510050093201"@;@"204864404"@;@Бир тумбали стол@;@"9403609000"@;@32,2@;@"31.01.12.110-00002"@;@1 848@;@шт
"508050100202"@;@"307196029"@;@Плита фильтровальная 800*800*60@;@"8421990007"@;@30,56@;@"28.99.30.000-00210"@;@2 112@;@шт
"510050093102"@;@"204864404"@;@Наряд тумбочкаси@;@"9403890000"@;@39,1@;@"31.01.12.150-00001"@;@1 584@;@шт
"510050090303"@;@"303160314"@;@Бурғилаш насосининг фтулкаси -@;@"8413910008"@;@38@;@"28.92.61.110-00018"@;@900@;@шт
"510050090302"@;@"303160314"@;@Бурғилаш насосининг фтулкаси -@;@"8413910008"@;@47@;@"28.92.61.110-00018"@;@900@;@шт.
"510050090301"@;@"303160314"@;@Бурғилаш насосининг фтулкаси -@;@"8413910008"@;@57@;@"28.92.61.110-00018"@;@900@;@шт.
"505050050901"@;@"307057209"@;@Енгил автомобиль@;@"8703231941"@;@13@;@"29.10.20.000-00001"@;@72@;@шт
"539050298001"@;@"205435493"@;@Универсал қайд этиш журнали@;@"4820101000"@;@28@;@"17.23.13.120-00001"@;@30 000 000@;@шт.
"539050301103"@;@"301200880"@;@Краны мостовые однобалочные на неподвижных опорах@;@"8426110000"@;@31,2@;@"28.22.14.121-00001"@;@48@;@шт
"539050298001"@;@"205435493"@;@Рўйҳатга олиш китоби@;@"4820101000"@;@28@;@"17.23.13.120-00019"@;@30 000 000@;@шт.
"510050092301"@;@"309724904"@;@Махсус иш кийими (синтетик мато)@;@"6203238000"@;@12@;@"14.12.11.110-00001"@;@3 650@;@компл
"510050093101"@;@"204864404"@;@Ойна стол (витрина)@;@"9403890000"@;@44,6@;@"31.01.13.000-00001"@;@2 112@;@шт
"539050299104"@;@"205040725"@;@кровленный материал в рулонах@;@"6807100001"@;@25,72@;@"20.30.22.239-00001"@;@1 000 000@;@кв. метр
"539050299103"@;@"205040725"@;@кровленный материал в рулонах@;@"6807100001"@;@33,02@;@"22.23.11.000-00005"@;@1 000 000@;@кв. метр
"539050299102"@;@"205040725"@;@кровленный материал в рулонах@;@"6807100001"@;@33@;@"22.23.11.000-00005"@;@1 000 000@;@кв. метр
"539050299101"@;@"205040725"@;@кровленный материал в рулонах@;@"6807100001"@;@29,96@;@"22.23.11.000-00005"@;@1 000 000@;@кв. метр
"510050090501"@;@"303160314"@;@Бургулаш кулфи (замок буровой)@;@"8431430000"@;@45@;@"25.73.60.120-00006"@;@900@;@шт
"509050183801"@;@"204248196"@;@Таги тишли махсус кроссовка@;@"6403999600"@;@49,35@;@"15.20.13.110-00001"@;@80 000@;@пар
"539050301104"@;@"301200880"@;@Краны мостовые подвесные@;@"8426110000"@;@31,3@;@"28.22.14.121-00001"@;@48@;@шт
"508050100201"@;@"307196029"@;@Плита фильтровальная 1000*1000*65@;@"8421990007"@;@30,29@;@"28.99.30.000-00210"@;@500@;@шт
"539050301102"@;@"301200880"@;@Краны мостовые@;@"8426110000"@;@31,1@;@"28.22.14.121-00001"@;@48@;@шт
"539050301101"@;@"301200880"@;@Краны мостовые электрические@;@"8426110000"@;@31@;@"28.22.14.121-00001"@;@48@;@шт
"539050297701"@;@"205435493"@;@Қатъий ҳисобга олиш ҳужжатларининг соҳа бланклари@;@"4820900000"@;@30@;@"17.23.13.141-00001"@;@60 000 000@;@шт
"539050297701"@;@"205435493"@;@Қатъий ҳисобдаги шахсий ҳужжатларнинг бланклари@;@"4820900000"@;@30@;@"17.23.13.143-00004"@;@60 000 000@;@шт
"539050297701"@;@"205435493"@;@Тиббий мақсадларда қўлланадиган бланкалар@;@"4820900000"@;@30@;@"17.23.13.141-00005"@;@60 000 000@;@шт.
"539050302601"@;@"300635625"@;@Тележка ручная для белья@;@"8716800000"@;@30@;@"32.99.59.000-00097"@;@500@;@шт
"539050302702"@;@"302681014"@;@Лебётка@;@"8425310009"@;@66,87@;@"28.22.11.112-00001"@;@600@;@шт.
"539050302701"@;@"302681014"@;@Лебётка@;@"8425310009"@;@68,35@;@"28.22.12.190-00004"@;@600@;@шт.
"508050099701"@;@"201295387"@;@Стул метал каркасли@;@"9401790009"@;@31,44@;@"31.01.11.150-00001"@;@864@;@шт.
"526050021004"@;@"205239579"@;@Вулканизацияланган резинадан техник тасма@;@"4008219000"@;@57,21@;@"22.19.10.000-00004"@;@3 120 000@;@кг
"526050021003"@;@"205239579"@;@Вулканизацияланган резинадан техник пластина@;@"4008219000"@;@57,21@;@"22.19.10.000-00004"@;@3 120 000@;@кг
"539050296513"@;@"301975029"@;@НАПИТОК БЕЗАЛКОГОЛЬНЫЙ ГАЗИРОВАННЫЙ@;@"2202100009"@;@49,71@;@"11.07.19.190-00001"@;@192 780 000@;@бут
"539050296512"@;@"301975029"@;@НАПИТОК БЕЗАЛКОГОЛЬНЫЙ ГАЗИРОВАННЫЙ@;@"2202100009"@;@40,36@;@"11.07.19.190-00001"@;@64 260 000@;@бут
"539050296511"@;@"301975029"@;@НАПИТОК БЕЗАЛКОГОЛЬНЫЙ ГАЗИРОВАННЫЙ@;@"2202100009"@;@43,99@;@"11.07.19.190-00001"@;@192 780 000@;@бут
"514050079801"@;@"302489308"@;@Аёллар миллий куйлаги@;@"6204491000"@;@99@;@"14.13.14.140-00002"@;@780@;@шт
"539050296510"@;@"301975029"@;@НАПИТОК БЕЗАЛКОГОЛЬНЫЙ ГАЗИРОВАННЫЙ@;@"2202100009"@;@33,19@;@"11.07.19.190-00001"@;@64 260 000@;@бут
"532050038506"@;@"200915414"@;@Перчатки медицинские диагностические (смотровые) нитриловые стерильные, однократного применения, цвет черный, размер  L@;@"4015190000"@;@44,89@;@"21.32.24.110-00001"@;@398 448 748@;@шт
"526050021002"@;@"205239579"@;@Вулканизацияланган резинадан техник пластина@;@"4008219000"@;@72,76@;@"22.19.10.000-00004"@;@3 120 000@;@кг
"508050099101"@;@"306760729"@;@Қолипли нон@;@"1905903000"@;@86,97@;@"10.71.11.110-00001"@;@1 080 000@;@шт
"508050096901"@;@"300369838"@;@Шток поршня насоса@;@"8413910008"@;@68,95@;@"28.14.20.290-00002"@;@2 400@;@штук
"526050020804"@;@"205239579"@;@Вулканизацияланмаган резина қоришмаси@;@"4005100000"@;@59,81@;@"22.19.20.111-00001"@;@3 120 000@;@кг
"526050020803"@;@"205239579"@;@Вулканизацияланмаган резина қоришмаси@;@"4005100000"@;@58,3@;@"22.19.20.111-00001"@;@3 120 000@;@кг
"526050020802"@;@"205239579"@;@Вулканизацияланмаган резина қоришмаси@;@"4005100000"@;@56,27@;@"22.19.20.111-00001"@;@3 120 000@;@кг
"526050020801"@;@"205239579"@;@Вулканизацияланмаган резина қоришмаси@;@"4005100000"@;@59,57@;@"22.19.20.111-00001"@;@3 120 000@;@кг
